name,content,rater_id,natural_rating,abstract_rating,condition,sentence_source,stimuli_type,gender,age,model_batch,im_r,im_i,choices_r,choices_i,targets_r,targets_i
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,1,3.0,2.0,irrelevant,news,original,Female,62.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,2,3.0,1.0,irrelevant,news,original,Female,33.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,3,2.0,3.0,irrelevant,news,original,Female,54.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,4,4.0,2.0,irrelevant,news,original,Female,56.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,5,4.0,1.0,irrelevant,news,original,Male,69.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,6,2.0,3.0,irrelevant,news,original,Male,39.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,7,3.0,2.0,irrelevant,news,original,Male,54.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,8,3.0,2.0,irrelevant,news,original,Female,30.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,9,3.0,2.0,irrelevant,news,original,Male,70.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,10,2.0,3.0,irrelevant,news,original,Male,53.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,11,2.0,2.0,irrelevant,news,original,Male,45.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,12,4.0,1.0,irrelevant,news,original,Female,22.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,13,4.0,2.0,irrelevant,news,original,Male,52.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,14,2.0,2.0,irrelevant,news,original,Female,51.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,15,1.0,4.0,irrelevant,news,original,Female,51.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,16,2.0,3.0,irrelevant,news,original,Male,23.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,17,3.0,2.0,irrelevant,news,original,Male,42.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,18,2.0,3.0,irrelevant,news,original,Female,72.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,19,4.0,1.0,irrelevant,news,original,Female,60.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,20,1.0,1.0,irrelevant,news,original,Male,75.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,21,2.0,3.0,irrelevant,news,original,Male,61.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,22,3.0,2.0,n,news,original,Male,57.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,23,2.0,3.0,n,news,original,Male,71.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,24,4.0,1.0,n,news,original,Female,51.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,25,3.0,1.0,n,news,original,Male,41.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,26,1.0,1.0,n,news,original,Female,38.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,27,3.0,2.0,n,news,original,Male,48.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,28,3.0,1.0,n,news,original,Female,58.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,29,3.0,3.0,n,news,original,Female,19.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,30,4.0,1.0,n,news,original,Female,38.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,31,2.0,2.0,n,news,original,Female,41.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,32,4.0,1.0,n,news,original,Female,27.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,33,4.0,2.0,n,news,original,Female,57.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
or1,But the answer seems to be no: Reeves lets it be known she requests no costings on raising the three forbidden taxes.,34,3.0,2.0,n,news,original,Male,67.0,batch1,im1,im16,"the woman,the tower,the red box","the heart-shaped tree,the watering cans,the kid in a striped shirt",the red box,the kid in a striped shirt
